,Unnamed: 0,user_name,user_location,user_description,user_verified,date,text,hashtags,source
36,36,Love NBA,,NAB Fanbase,False,2022-10-07 19:20:02+00:00,"#13– yeah we still can’t explain this one 🤯 ##UtahJazz #trickshots
 
https://t.co/bvPetL7orb
 
#NorthwestDivision #WesternConference https://t.co/D5TsB2EpIW","['UtahJazz', 'trickshots', 'NorthwestDivision']",love.nba
37,37,Tyson,THE United States of America,"Husband, dad. Long-suffering BYU, Jazz and Cowboys fan. Owner of 2 spoiled dogs, hiker. BIG XII. I follow back.",False,2022-10-07 19:09:44+00:00,"Dream scenario for the #utahjazz this season. They're still competitive, just missing the playoffs by a game or 2, and land Victor Wembanyama in the draft, leaving the only question for Jazz fans, what nickname does he end up with, VW or V Dub. 🤣",['utahjazz'],Twitter for Android
38,38,EASTCOASTHOOPRECRUIT,East Coast,"Respect the Game @shopecrecruit1🛒 #CantforgerttheEastCoast #EastCoastLetsGo #Eastcoasthooprecruit All Inclusive Basketball Coverage Highschool, College and NBA",False,2022-10-07 16:26:53+00:00,"@texastechmbb Prepping for the show 🔴📸🔴📸🔴 

#eastcoasthooprecruit #gleagueignite #nbapreseason #nike #nbalottery #clevelandcavaliers #ote #jordanpoole #curry #portlandtrailblazers #utahjazz #miamiheat #ignite #jaysontatum0 #jaysontatum #overtime https://t.co/Qv4gyvQai2","['eastcoasthooprecruit', 'gleagueignite', 'nbapreseason', 'nike', 'nbalottery']",Twitter for iPhone
39,39,James Savoulidis,Canberra,Just a freedom loving nationalist against the totalitarian globalist agenda.             M🇦🇺GA,False,2022-10-07 13:52:18+00:00,"I remember watching an old VHS titled “The Secret #NBA” and in it legendary #UtahJazz coach Frank Layden was being heckled by a fan. Frank asked them “did you pay for that seat” the fan replied “yes” and Frank said “ok, keep talking then”. That was then and this is now 👇 https://t.co/5zQgHlv5CN","['NBA', 'UtahJazz']",Twitter for iPhone
40,40,Pablo Guzman,"Connecticut, USA","Life is so much brighter when you focus on what really matters, hope is the best feeling.Happy father of 8yr old triplets and a beautiful 7yr old princess.",False,2022-10-07 13:32:21+00:00,I'm excited for this kid #Victorwebenyama I just hope the #utahjazz don't draft him lol @JalenRose @JalenandJacoby,"['Victorwebenyama', 'utahjazz']",Twitter for Android
41,41,Raw Chili,,,False,2022-10-07 12:09:02+00:00,"Saw this on Twitter, been daydreaming since 
 
https://t.co/gKQaanG0pz
 
#Basketball #Jazz #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #SaltLakeCity #Utah #UtahJazz https://t.co/fXKs9zzJbx","['Basketball', 'Jazz']",raw-chili
42,42,Love NBA,,NAB Fanbase,False,2022-10-07 10:49:03+00:00,"I was at the Wembanyama game today… AMA!
 
https://t.co/7lNzdNPylT
 
#NorthwestDivision #UtahJazz #WesternConference https://t.co/n9hErFqzJD","['NorthwestDivision', 'UtahJazz', 'WesternConference']",love.nba
43,43,Love NBA,,NAB Fanbase,False,2022-10-07 08:07:02+00:00,"Saw this on Twitter, been daydreaming since
 
https://t.co/r6eUOV2pmk
 
#NorthwestDivision #UtahJazz #WesternConference https://t.co/y72oPFpIvt","['NorthwestDivision', 'UtahJazz']",love.nba
44,44,Raw Chili,,,False,2022-10-07 01:05:02+00:00,"Past and Future 
 
https://t.co/DIW8QK2D3s
 
#Basketball #Jazz #NationalBasketballAssociation #NBA #NBAWesternConference #NBAWesternConferenceNorthwestDivision #SaltLakeCity #Utah #UtahJazz https://t.co/EZwTStKEXe","['Basketball', 'Jazz', 'NationalBasketballAssociation', 'NBA']",raw-chili
45,45,Love NBA,,NAB Fanbase,False,2022-10-07 00:29:02+00:00,"Past and Future
 
https://t.co/j11aT9VIOc
 
#NorthwestDivision #UtahJazz #WesternConference https://t.co/2W8SsCiT0g","['NorthwestDivision', 'UtahJazz', 'WesternConference']",love.nba
46,46,Leaving For LA,Montreal,"Graphic Designer. Sports fanatic. Visit my shop: Posters, Prints, Frames, Phone cases, Puzzles, Pillows, Towels and more!",False,2022-10-07 00:27:00+00:00,"Shop #TakeNote  Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/Ia8qohAitX &lt;&lt; #Utah #UtahJazz #Jazz #NBA #basketball #NBAAllStar #NBA2K22 #NBATwitter #NBAonTNT #NBA75","['TakeNote', 'Utah']",Twitter Web App
47,47,"Niners, Jazz & Jake","St George, UT","@UtahJazz fan, through it all. Also big @49ers guy. Husband & dad to 3. Work for Wilson Electronics in St George, UT. Member of @Ch_JesusChrist.",False,2022-10-06 23:40:21+00:00,Even the Jazz copyrighting team is tanking! Let’s gooooo! #TankNote #UtahJazz #3PointFreeThrows https://t.co/YWzCczfbhU,"['TankNote', 'UtahJazz', '3PointFreeThrows']",Twitter for iPhone
48,48,TJ Gale,"Alabama, USA","A sports fanatic, with unique views that are not shared by all.",False,2022-10-06 23:26:25+00:00,#tanknote let's go Danny Ainge!  @utahjazz #jazz #utahjazz @JazzNationNews https://t.co/NEMhIU16JK,"['tanknote', 'jazz', 'utahjazz']",Twitter for Android
49,49,Jazzketball,"Utah, USA",Utah Jazz Fan Sourced Podcast. Share your thoughts on Live Twitter Spaces. Made for Die-hards by Die-heads. Listen now on all major podcast platforms,False,2022-10-06 23:03:24+00:00,If the Jazz kept Rudy we could have called them the French Fiascos. Look 👀 how much taller @vicw_32 is than @rudygobert27 #nba #utahjazz #Wembanyama #gobert https://t.co/zY10p7b7z1,,Twitter for iPhone
50,50,Landon Johnson,"Salt Lake City, UT",Product Manager at @awardco | Co-Founder of @PanthosMedia & @SuppStopp | Utah Jazz fan | Commissioner of @SLCFantasyBball,False,2022-10-06 22:59:05+00:00,"While I continue to not be stoked about the horrible new branding the @utahjazz somehow thought was a decent idea, I AM pretty excited about this! This is huge for us at @awardco, and and a great decision by the Jazz! 🙌🏼🏀🚀

#Awardco #UtahJazz #NBA #RecognizeTheGood #TakeNote https://t.co/mcIj2KDIst",,Twitter Web App
51,51,Alex Midnights Vejar,"Salt Lake City, UT",Scribbling and bibbling about sports for @sltrib. BYU basketball/general assignment reporter. He/him. NAHJ. Cinephile. Taylor Swift apologist. DMs open.,True,2022-10-06 22:47:26+00:00,A short person (me) wrote about two very tall people. #UtahJazz https://t.co/sNjnAvkJYh,['UtahJazz'],Twitter Web App
52,52,Sam Farnsworth,"Salt Lake City, UT",Sports Anchor for @KSL5TV and @KSLSports in Salt Lake City. Sou Cruzeirense pra sempre. Lets fire up the smoker! Tweets are not endorsements,False,2022-10-06 22:42:24+00:00,"2018 Suns (21 W)
2017 Nets (20 W - traded to Celtics)
2016 76ers (10 W)
2015 TWolves (16 W)

The 2012 Bobcats (7 W) won 13 FEWER games than the next worse team (Wizards 20 W) and didn't get #1 pick. Hornets (21 W) picked first.

#TankNote l #UtahJazz",,Twitter Web App
53,53,Sam Farnsworth,"Salt Lake City, UT",Sports Anchor for @KSL5TV and @KSLSports in Salt Lake City. Sou Cruzeirense pra sempre. Lets fire up the smoker! Tweets are not endorsements,False,2022-10-06 22:42:23+00:00,"All of this #TankNote talk had me thinking... just how bad to the #UtahJazz have to be to get that number one pick? I looked back at the last 12 drafts. Only 4 times did the team with the worst record get the number one pick.
1/2","['TankNote', 'UtahJazz']",Twitter Web App
