,id,date,home_team_score,period,postseason,season,status,time,visitor_team_score,home_team.id,home_team.abbreviation,home_team.city,home_team.conference,home_team.division,home_team.full_name,home_team.name,visitor_team.id,visitor_team.abbreviation,visitor_team.city,visitor_team.conference,visitor_team.division,visitor_team.full_name,visitor_team.name
935,571,2019-01-04T00:00:00.000Z,100,4,False,2018,Final, ,109,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
936,572,2019-01-04T00:00:00.000Z,111,4,False,2018,Final, ,121,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,13,LAC,LA,West,Pacific,LA Clippers,Clippers
937,573,2019-01-04T00:00:00.000Z,144,4,False,2018,Final, ,112,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
938,574,2019-01-04T00:00:00.000Z,109,4,False,2018,Final, ,111,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
939,575,2019-01-04T00:00:00.000Z,112,4,False,2018,Final, ,119,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
940,576,2019-01-05T00:00:00.000Z,123,4,False,2018,Final, ,110,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
941,577,2019-01-05T00:00:00.000Z,105,4,False,2018,Final, ,110,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
942,578,2019-01-05T00:00:00.000Z,106,4,False,2018,Final, ,100,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
943,579,2019-01-05T00:00:00.000Z,98,4,False,2018,Final, ,133,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans
944,580,2019-01-05T00:00:00.000Z,108,4,False,2018,Final, ,88,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
945,581,2019-01-05T00:00:00.000Z,116,4,False,2018,Final, ,123,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
946,582,2019-01-05T00:00:00.000Z,110,4,False,2018,Final, ,101,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
947,583,2019-01-05T00:00:00.000Z,123,4,False,2018,Final, ,127,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
948,584,2019-01-06T00:00:00.000Z,100,4,False,2018,Final, ,117,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
949,585,2019-01-06T00:00:00.000Z,108,4,False,2018,Final, ,86,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
950,586,2019-01-06T00:00:00.000Z,106,4,False,2018,Final, ,96,13,LAC,LA,West,Pacific,LA Clippers,Clippers,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
951,587,2019-01-06T00:00:00.000Z,106,4,False,2018,Final, ,82,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks,16,MIA,Miami,East,Southeast,Miami Heat,Heat
952,588,2019-01-06T00:00:00.000Z,98,4,False,2018,Final, ,116,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
953,589,2019-01-06T00:00:00.000Z,121,4,False,2018,Final, ,105,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
954,590,2019-01-06T00:00:00.000Z,113,4,False,2018,Final, ,119,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
955,591,2019-01-07T00:00:00.000Z,116,4,False,2018,Final, ,95,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
956,592,2019-01-07T00:00:00.000Z,107,4,False,2018,Final, ,119,9,DET,Detroit,East,Central,Detroit Pistons,Pistons,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
957,593,2019-01-07T00:00:00.000Z,125,4,False,2018,Final, ,113,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
958,594,2019-01-07T00:00:00.000Z,114,4,False,2018,Final, ,102,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
959,595,2019-01-07T00:00:00.000Z,114,4,False,2018,Final, ,95,19,NOP,New Orleans,West,Southwest,New Orleans Pelicans,Pelicans,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
960,596,2019-01-07T00:00:00.000Z,97,4,False,2018,Final, ,107,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
961,597,2019-01-07T00:00:00.000Z,111,4,False,2018,Final, ,101,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
962,598,2019-01-07T00:00:00.000Z,111,4,False,2018,Final, ,95,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
963,599,2019-01-08T00:00:00.000Z,115,4,False,2018,Final, ,123,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
964,600,2019-01-08T00:00:00.000Z,132,4,False,2018,Final, ,115,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
965,601,2019-01-08T00:00:00.000Z,99,4,False,2018,Final, ,103,16,MIA,Miami,East,Southeast,Miami Heat,Heat,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
966,602,2019-01-08T00:00:00.000Z,104,4,False,2018,Final, ,101,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
967,603,2019-01-08T00:00:00.000Z,117,4,False,2018,Final, ,119,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
968,604,2019-01-08T00:00:00.000Z,115,4,False,2018,Final, ,111,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
969,605,2019-01-08T00:00:00.000Z,128,4,False,2018,Final, ,109,13,LAC,LA,West,Pacific,LA Clippers,Clippers,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
970,606,2019-01-08T00:00:00.000Z,122,4,False,2018,Final, ,95,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
971,607,2019-01-09T00:00:00.000Z,135,4,False,2018,Final, ,108,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
972,608,2019-01-09T00:00:00.000Z,123,4,False,2018,Final, ,106,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
